product_chapter_id,ProdId,nChapterPages,section_type_label,chapter_idx
txt9781423201991-First Page,txt9781423201991,4,First Page,1
txt9781598630966-First Page,txt9781598630966,10,First Page,1
txt9781598630966-TOC,txt9781598630966,6,TOC,2
txt9781598630966-Ch Intro,txt9781598630966,6,Ch,3
txt9781598630966-Ch 1,txt9781598630966,37,Ch,4
txt9781598630966-Ch 2,txt9781598630966,22,Ch,5
txt9781598630966-Ch 3,txt9781598630966,18,Ch,6
txt9781598630966-Ch 4,txt9781598630966,66,Ch,7
txt9781598630966-Ch 5,txt9781598630966,42,Ch,8
txt9781598630966-Ch 6,txt9781598630966,20,Ch,9
txt9781598630966-Ch 7,txt9781598630966,17,Ch,10
txt9781598630966-Ch 8,txt9781598630966,23,Ch,11
txt9781598630966-Ch 9,txt9781598630966,22,Ch,12
txt9781598630966-Indx,txt9781598630966,36,Indx,13
txt9781111794349-Intro,txt9781111794349,20,Intro,1
txt9781111794349-TOC,txt9781111794349,20,TOC,2
txt9781111794349-Ch 1,txt9781111794349,21,Ch,3
txt9781111794349-Ch 2,txt9781111794349,19,Ch,4
txt9781111794349-Ch 3,txt9781111794349,25,Ch,5
txt9781111794349-Ch 4,txt9781111794349,29,Ch,6
txt9781111794349-Ch 5,txt9781111794349,25,Ch,7
txt9781111794349-Ch 6,txt9781111794349,17,Ch,8
txt9781111794349-Ch 7,txt9781111794349,19,Ch,9
txt9781111794349-Ch 8,txt9781111794349,18,Ch,10
txt9781111794349-Ch 9,txt9781111794349,19,Ch,11
txt9781111794349-Ch 10,txt9781111794349,25,Ch,12
txt9781111794349-Ch 11,txt9781111794349,16,Ch,13
txt9781111794349-Ch 12,txt9781111794349,21,Ch,14
txt9781111794349-Ch 13,txt9781111794349,17,Ch,15
txt9781111794349-Ch 14,txt9781111794349,18,Ch,16
txt9781111794349-Ch 15,txt9781111794349,22,Ch,17
txt9781111794349-Ch 16,txt9781111794349,21,Ch,18
txt9781111794349-Ch 17,txt9781111794349,20,Ch,19
txt9781111794349-Ch 18,txt9781111794349,14,Ch,20
txt9781111794349-Ch 19,txt9781111794349,18,Ch,21
txt9781111794349-Ch 20,txt9781111794349,19,Ch,22
txt9781111794349-Ch 21,txt9781111794349,15,Ch,23
txt9781111794349-Ch 22,txt9781111794349,16,Ch,24
txt9781111794349-Ch 23,txt9781111794349,23,Ch,25
txt9781111794349-Ch 24,txt9781111794349,23,Ch,26
txt9781111794349-Ch 25,txt9781111794349,18,Ch,27
txt9781111794349-Ch 26,txt9781111794349,18,Ch,28
txt9781111794349-Ch 27,txt9781111794349,17,Ch,29
txt9781111794349-Ch 28,txt9781111794349,16,Ch,30
txt9781111794349-Ch 29,txt9781111794349,25,Ch,31
txt9781111794349-Ch 30,txt9781111794349,26,Ch,32
txt9781111794349-Ch 31,txt9781111794349,16,Ch,33
txt9781111794349-Ch 32,txt9781111794349,16,Ch,34
txt9781111794349-Ch 33,txt9781111794349,17,Ch,35
txt9781111794349-Ch 34,txt9781111794349,18,Ch,36
txt9781111794349-Ch 35,txt9781111794349,19,Ch,37
txt9781111794349-Ch 36,txt9781111794349,22,Ch,38
txt9781111794349-Ch 37,txt9781111794349,19,Ch,39
txt9781111794349-Ch 38,txt9781111794349,16,Ch,40
txt9781111794349-Ch 39,txt9781111794349,18,Ch,41
txt9781111794349-Ch 40,txt9781111794349,24,Ch,42
txt9781111794349-Ch 41,txt9781111794349,21,Ch,43
txt9781111794349-Ch 42,txt9781111794349,24,Ch,44
txt9781111794349-Ch 43,txt9781111794349,26,Ch,45
txt9781111794349-Ch 44,txt9781111794349,18,Ch,46
txt9781111794349-Ch 45,txt9781111794349,21,Ch,47
txt9781111794349-Ch 46,txt9781111794349,17,Ch,48
txt9781111794349-Ch 47,txt9781111794349,23,Ch,49
txt9781111794349-Ch 48,txt9781111794349,26,Ch,50
txt9781111794349-Ch 49,txt9781111794349,19,Ch,51
txt9781111794349-Ch 50,txt9781111794349,22,Ch,52
txt9781111794349-Ch 51,txt9781111794349,20,Ch,53
txt9781111794349-Ch 52,txt9781111794349,20,Ch,54
txt9781111794349-Ch 53,txt9781111794349,22,Ch,55
txt9781111794349-Ch 54,txt9781111794349,23,Ch,56
txt9781111794349-Ch 55,txt9781111794349,21,Ch,57
txt9781111794349-Apdx A,txt9781111794349,1,Apdx,58
txt9781111794349-Apdx B,txt9781111794349,4,Apdx,59
txt9781111794349-Apdx C,txt9781111794349,3,Apdx,60
txt9781111794349-Apdx D,txt9781111794349,2,Apdx,61
txt9781111794349-Glss,txt9781111794349,48,Glss,62
txt9781111794349-Indx,txt9781111794349,46,Indx,63
txt9781111784928-First Page,txt9781111784928,6,First Page,1
txt9781111784928-TOC,txt9781111784928,6,TOC,2
txt9781111784928-First Page,txt9781111784928,18,First Page,3
txt9781111784928-Ch 1,txt9781111784928,38,Ch,4
txt9781111784928-Ch 2,txt9781111784928,37,Ch,5
